Class Name Short,Class Name Long,Credits
History 342,EARLY MODERN WARFARE/ATL WORLD,3.0
History 343,THE AMERICAN  & REVOLUTION,3.0
History 345,MODERN EUROPEAN HIST,3.0
History 364,- GENDER & SEXUALITY IN W.HIST,3.0
History 380,FILM IN HISTORY,3.0
History 394,THE AMERICAN WAY OF WAR,3.0
History 400,ADV SEMINAR: HISTORIOGRAPHY,3.0
History 400T3,ADV SEMINAR: HISTORIOGRAPHY,3.0
History 402,GLOBAL DIMENSIONS OF HISTORY,3.0
History 480,AMERICAN CIVILIZATION,3.0
History 499,INDEPENDENT STUDY,3.0
Hum 430,THE HOLOCAUST,3.0
Hum 495,RELIGION AND MORAL CHARACTER,3.0
Hum 499,INDEPENDENT STUDY,3.0
Hum 499S,INDEPENDENT STUDY,3.0
Japanese 132,BASIC JAPANESE,3.0
Japanese 222,INTERMED JAPANESE II,3.0
Japanese 322,ADVANCED JAPANESE COMMUNICATIO,3.0
Japanese 410,CURR. EVENTS/JAPAN. SPKG WORLD,3.0
Law 220,LAW/AIR FORCE OFFICERS,3.0
Law 220S,LAW FOR AIR FORCE OFFICERS,3.0
Law 221,LEGAL RESEARCH & WRITING,3.0
Law 331,CRIMINAL LAW AND PROCEDURE,3.0
Law 340,BUSINESS LAW,3.0
Law 351,U.S. CONSTITUTIONAL LAW,3.0
Law 363,INTERNATIONAL LAW,3.0
Law 466,ADV. TOPICS/LAW OF ARMED CONFL,3.0
Law 485,LEGAL STUDIES CAPSTONE,3.0
Law 495,SPACE LAW,3.0
Law 499,INDEPENDENT STUDY,3.0
Law 499C,INDEPENDENT STUDY,1.0
Leadership 100,FOUNDATIONS FOR PERSONAL LEADE,0.75
Leadership 200,FOUNDATIONS/INTERPERSONL LDSH,0.75
Leadership 300,FOUNDATIONS FOR TEAM LEADERSHP,0.75
Leadership 400,ORGANIZATIONAL DYNAMICS,0.75
Leadership 400X,ORGANIZATIONAL DYNAMICS,0.75
LearnStrat 102,LEARNING STRATS FOR ACADEMIC,0.0
MSS 201,UAS INSTRUCTOR UPGRADE,3.0
MSS 251,AIRPOWER & JOINT OPS STRATEGY,4.5
MSS 251FR,AIRPOWER & JOINT OPS STRATEGY,4.5
MSS 251S,AIRPOWER & JOINT OPS STRATEGY,4.5
MSS 298,RESEARCH METHODS,3.0
MSS 363,INTEL -  SURVEILLANCE & RECONN,3.0
MSS 371,JOINT TARGETING & STRATEGY,3.0
MSS 377,AIRPOWER FOR COMBINED EFFECTS,3.0
MSS 381,AIR WARFARE OPS & PLANNING,3.0
MSS 444,"""SPACE & CYBER STRAT/NATL SECU""",3.0
MSS 451,PRECOMMISSIONING PROF MILIT ED,1.5
MSS 451X,PRECOMMISSIONING PROF MILIT ED,1.5
MSS 470,INFO & CYBERSPACE OPERATIONS,3.0
MSS 490,OPERATIONAL ART & ISR ANALYSIS,3.0
MSS 491,LOGISTICS & STRATEGY/AMERICAS,3.0
MSS 498,CAPSTONE PROJECT/MILIT & STRAT,3.0
MSS 499,INDEPENDENT STUDY,3.0
Math 130Z,BASIC MATH - ALGEBRA & TRIG,1.0
Math 141,CALCULUS I,3.0
Math 142,CALCULUS II,3.0
Math 243,CALCULUS III,3.0
Math 245,DIFF EQUA & MATRICES,3.0
Math 300,INTRODUCTION TO STATISTICS,3.0
Math 300S,PROBABILITY AND STATISTICS,3.0
Math 300Z,INTRODUCTION TO STATISTICS,3.0
Math 320,FOUNDATIONS OF MATHEMATICS,3.0
Math 340,DISCRETE MATHEMATICS,3.0
Math 344,APPLIED LINEAR ALGEBRA,3.0
Math 346,ENGINEERING MATH,3.0
Math 356,PROB/STATS:ENGR/SCI,3.0
Math 359,DESGN/ANALYSIS OF EXPERIMENTS,3.0
Math 366,REAL ANALYSIS I,3.0
Math 378,ADVANCED STATISTICS MODELING,3.0
Math 421,MATHEMATICS CAPSTONE II,2.0
Math 451,COMPLEX VARIABLES,3.0
Math 469,PARTIAL DIFF EQUATIONS,3.0
MechEngr 220,FUNDAMENTALS OF MECHANICS,3.0
MechEngr 220V,FUNDAMENTALS OF MECHANICS,3.0
MechEngr 320,DYNAMICS,3.0
MechEngr 325,ENGINEERING SYSTEM DYN,3.0
MechEngr 330,MECHANICS OF DEFORMABLE BODIES,3.0
MechEngr 340,MATERIALS SCIENCE FOR ENGINEER,3.0
MechEngr 341,FLUID MECHANICS,3.0
MechEngr 350,MECHANICAL BEHAVIOR/MATERIALS,3.0
MechEngr 370,INTRO/MACHINE DESIGN,3.0
MechEngr 406,MECHENGR DESIGN SEMINAR II,0.0
MechEngr 421,VIBRATIONS,3.0
MechEngr 441,HEAT TRANSFER,3.0
MechEngr 450,AEROSPACE COMPOSITE MATERIAL,3.0
MechEngr 492,CAPSTONE DESIGN PROJECT II,3.0
MechEngr 499,INDEPENDENT STUDY,3.0
MechEngr 499A,INDEPENDENT STUDY,2.0
Meteor 320,INTRO/METEOR-AVIATION WEATHER,3.0
Meteor 331,PHYSICAL METEROLOGY II,3.0
Meteor 370,METEOR. APPS OF REMOTE SENSING,3.0
Meteor 430,ATMOSPHERIC DYNAMICS I,3.0
Meteor 452,MESOSCALE METEOROLOGY,3.0
Meteor 490,METEOROLOGICAL INTERPRETATONS,3.0
Meteor 499,INDEPENDENT STUDY,3.0
Meteor 499B,independent study,1.5
Mgt 337,MANAGERIAL FINANCE,3.0
Mgt 342,MANAGERIAL ACCT,3.0
Mgt 361,ADV TOPICS/ORG BEHAV & THEORY,3.0
Mgt 372,INTRODUCTION TO INVESTMENTS,3.0
Mgt 375,MARKETING ANALYSIS,3.0
Mgt 391,INFO. TECHNOLOGY FOR ORGS,3.0
Mgt 400,MANAGEMENT AND COMMAND,3.0
Mgt 400S,MANAGEMENT AND COMMAND3,3.0
Mgt 401,PROJECT MANAGEMENT,3.0
Mgt 420,MANAGEMENT CAPSTONE PRACTICUM,3.0
Mgt 420I,MANAGEMENT CAPSTONE PRACTICUM,3.0
Mgt 420Z,MANAGEMENT CAPSTONE PRACTICUM,3.0
Mgt 448,POWER & INFLUENCE IN ORGANIZ.,3.0
Mgt 478,SUPPLY CHAIN MANAGEMENT,3.0
OpsRsch 310,SYSTEMS ANALYSIS,3.0
OpsRsch 310H,SYSTEMS ANALYSIS,3.0
OpsRsch 312,PROBABILISTIC MODELS,3.0
OpsRsch 406,OPERATIONS RESEARCH SEMINAR II,0.0
OpsRsch 422,CAPSTONE/OPS RESEARCH II,3.0
OpsRsch 476,SPORTS ANALYTICS,3.0
OpsRsch 499,INDEPENDENT STUDY,3.0
Philos 200,INTRODUCTION TO PHILOSOPHY,3.0
Philos 310,ETHICS,3.0
Philos 311,WAR/MORALITY/MIL PROF,3.0
Philos 345,PHILOSOPHY OF LOVE AND SEX,3.0
Philos 370,INTRO SYMBOLIC LOGIC,3.0
Philos 394,CONTEMPORARY TOPICS IN PHILOS,3.0
Philos 395,PHILOSOPHY OF LAW,3.0
Philos 401,COMPARATIVE RELIGION,3.0
Philos 402,PHILOSOPHY OF RELIGION,3.0
Philos 495A,THE SACRED AND THE PROFANE,3.0
Philos 495B,EXISTENTIALISM & DARK HUMOR,3.0
Philos 499,INDEPENDENT STUDY,3.0
Philos 499B,INDEPENDENT STUDY,1.5
Philos 499S,INDEPENDENT STUDY,3.0
PhyEd 110E,BOXING,0.5
PhyEd 110F,BOXING,0.5
PhyEd 110G,BOXING,0.5
PhyEd 110H,BOXING,0.5
PhyEd 111E,SWIMMING,0.5
PhyEd 111F,SWIMMING,0.5
PhyEd 111G,SWIMMING,0.5
PhyEd 112E,PHYSICAL DEVELOPMENT,0.5
PhyEd 112F,PHYSICAL DEVELOPMENT,0.5
PhyEd 112G,PHYSICAL DEVELOPMENT,0.5
PhyEd 112H,PHYSICAL DEVELOPMENT,0.5
PhyEd 119EF,BASIC SWIMMING,0.5
PhyEd 152G,INTERCOLLEGIATE,0.5
PhyEd 211E,BASIC WATER SURVIVAL,0.5
PhyEd 211G,BASIC WATER SURVIVAL,0.5
PhyEd 211H,BASIC WATER SURVIVAL,0.5
PhyEd 215E,COMBATIVES I,0.5
PhyEd 215F,COMBATIVES I,0.5
PhyEd 215G,COMBATIVES I,0.5
PhyEd 222E,WATER SURVIVAL,0.5
PhyEd 222F,WATER SURVIVAL,0.5
PhyEd 222G,WATER SURVIVAL,0.5
PhyEd 222H,WATER SURVIVAL,0.5
PhyEd 252G,INTERCOLLEGIATE,0.5
PhyEd 315E,COMBATIVES II,0.5
PhyEd 315F,COMBATIVES II,0.5
PhyEd 315G,COMBATIVES II,0.5
PhyEd 315H,COMBATIVES II,0.5
PhyEd 340E,RACQUETBALL,0.5
PhyEd 340F,RACQUETBALL,0.5
PhyEd 340G,RACQUETBALL,0.5
PhyEd 340H,RACQUETBALL,0.5
PhyEd 341G,TENNIS,0.5
PhyEd 341H,TENNIS,0.5
PhyEd 342G,GOLF,0.5
PhyEd 342H,GOLF,0.5
PhyEd 343E,INDOOR ROCK CLIMBING,0.5
PhyEd 343F,INDOOR ROCK CLIMBING,0.5
PhyEd 343G,INDOOR ROCK CLIMBING,0.5
PhyEd 343H,INDOOR ROCK CLIMBING,0.5
PhyEd 344F,WARRIOR ENHANCED YOGA,0.5
PhyEd 344G,WARRIOR ENHANCED YOGA,0.5
PhyEd 345E,FUNCTIONAL FITNESS,0.5
PhyEd 345F,FUNCTIONAL FITNESS,0.5
PhyEd 346E,PICKLEBALL,0.5
PhyEd 346G,PICKLEBALL,0.5
PhyEd 352G,INTERCOLLEGIATE SPORTS,0.5
PhyEd 452G,INTERCOLLEGIATE,0.5
PhyEd 484G,VOLLEYBALL,0.5
PhyEd 484H,VOLLEYBALL,0.5
PhyEd 486E,BASKETBALL,0.5
PhyEd 486F,BASKETBALL,0.5
PhyEd 487E,SOCCER,0.5
PhyEd 487H,SOCCER,0.5
PhyEd 488H,SOFTBALL,0.5
PhyEd 811,VA SPORT PHYED TIME,0.0
PhyEd 816,VA SPORT PHYED TIME,0.0
PhyEd 821,VA SPORT PHYED TIME,0.0
PhyEd 826,VA SPORT PHYED TIME,0.0
PhyEd 916,VA SPORT PRACT TIME,0.0
PhyEd 917,VA SPORT PRACT TIME,0.0
PhyEd 921,VA SPORT PRACT TIME,0.0
PhyEd 925,VA SPORT PRACT TIME,0.0
PhyEd 926,VA SPORT PRACT TIME,0.0
PhyEd 927,VA SPORT PRACT TIME,0.0
Physics 110,GENERAL PHYSICS I w/LABORATORY,4.0
Physics 110H,GENERAL PHYSICS I,4.0
Physics 110S,GENERAL PHYSICS w/LABORATORY,4.0
Physics 215,GENERAL PHYSICS II,4.0
Physics 215H,GENERAL PHYSICS II w/LAB,4.0
Physics 264,MODERN PHYSICS,3.0
Physics 341,LABORATORY TECHNIQUES,4.0
Physics 354,NUCLEAR WEAPONS ENGINEERING,3.0
Physics 356,COMPUTATIONAL PHYSICS,3.0
Physics 362,ELECTROMAG THEORY II,3.0
Physics 405,SENIOR SEMINAR,0.0
Physics 486,ASTROPHYSICS,3.0
Physics 490,CAPSTONE PHYSICS RESEARCH,4.0
Physics 499,INDEPENDENT STUDY,3.0
Physics 499A,INDEPENDENT STUDY,2.0
Physics 499C,INDEPENDENT STUDY,1.0
PolSci 211,POLITICS - AMERICAN GOVERNMENT,3.0
PolSci 211FR,POLIT - AMER. GOV. & NATL SECUR,3.0
PolSci 211S,POLITICS - AMERICAN GOVERNMENT,3.0
PolSci 302,AMER. FOREIGN & NATL SECURITY,3.0
PolSci 390,INTERNATIONAL RELAT. THEORY,3.0
PolSci 392,AMER POL SYST/THEORY,3.0
PolSci 394,COMPARATIVE GOVRN/POL,3.0
PolSci 421,INTERNATIONAL SECURITY,3.0
PolSci 460,COM SEC POLI/CIV MIL,3.0
PolSci 464,REGIME CHANGE: COUPS & REVOLUT,3.0
PolSci 466,CYBER SECURITY POLICY & POLITI,3.0
PolSci 482,POL OF JUD & SUP COURT,3.0
PolSci 491,CAPSTONE SEMINAR IN POL SCIENC,3.0
PolSci 496,CAUSES OF WAR & CONFLICT RESOL,3.0
PolSci 499,INDEPENDENT STUDY,3.0
Portuguese 132,Accelerated Basic Portuguese,3.0
Portuguese 212,ACCEL. BASIC PORTUGUESE II,3.0
Portuguese 222,INTERMEDIATE PORTUGUESE II,3.0
Portuguese 322,ADV PORTUGUSE COMMUNICATIONS,3.0
Portuguese 410,CURR. EVENTS/PORTUG. SPKG WORL,3.0
Portuguese 440,PORTUGUESE SEM. ABROAD EX PREP,1.0
ReadStrat 103,READING ENHANCEMENT/FIRST-YEAR,0.0
Russian 132,BASIC RUSSIAN,3.0
Russian 222,INTERMED RUSSIAN II,3.0
Russian 322,ADVANCED RUSSIAN,3.0
Russian 410,CURR. EVENTS/RUSSIAN-SPKG WORL,3.0
Russian 430,ADV. STUDIES IN RUSSIAN,3.0
SocSci 212,GEOPOLITICS,3.0
SocSci 311,INTERNATIONAL SECURITY STUDEIS,3.0
SocSci 412,GEOPOLITICS,3.0
SocSci 420,LAW & ECONOMICS,3.0
SocSci 444,INTERNATIONAL POLITICAL ECONOM,3.0
SocSci 467,NUCLEAR WEAPONS POLICY & STRAT,3.0
SocSci 483,PRINCIPLES OF NEGOTIATION,3.0
SocSci 495S,STATESMANSHIP,3.0
SocSci 499,INDEPENDENT STUDY,3.0
Space 251E,BASIC SPACE OPERATIONS,0.0
Space 251G,BASIC SPACE OPERATIONS,0.0
Space 252F,ADV SPACE OPERATIONS 2,0.0
Space 252H,BASIC SPACE OPERATIONS 2,0.0
Space 350,ADV. SPACE OPERATIONS UPGRADE,3.0
Space 473,ADV. SPACE OPS INSTRUCTOR,0.0
Spanish 132,BASIC SPANISH,3.0
Spanish 222,INTERMED SPANISH II,3.0
Spanish 322,ADVANCED SPANISH,3.0
Spanish 410,CURR. EVENTS/SPANIS SPKG WORLD,3.0
Spanish 421,INTRO LIT (LATIN AMER),3.0
Spanish 440,SPANSIH SEM. ABROAD EXCH. PREP,1.0
SysEngr 301,PROJECT MANAGEMENT,3.0
SysEngr 310,INTRO TO SYSTEMS ENGINEERING,3.0
SysEngr 320,OPTIMIZ THEORY w/DESIGN APPS,3.0
SysEngr 336,ENGR. ECONOMICS & FINAN. MGT.,3.0
SysEngr 406,SYSTEMS ENGINEERING SEMINAR II,0.0
SysEngr 470,HUMAN SYSTEMS INTEGRATION,3.0
SysEngr 492A,SYS ENGR CAPSTONE DESIGN II,3.0
SysEngr 492A1,SYS ENGR CAPSTONE DESIGN II,3.0
SysEngr 492B,SYS ENGR CAPSTONE DESIGN II,4.0
SysEngr 492BL,SYS ENGR CAPSTONE DESIGN II,3.0
SysEngr 492C,SYS ENGR CAPSTONE DESIGN II,3.0
SysEngr 492E,SYS ENGR CAPSTONE DESIGN II,3.0
SysEngr 492H,SYS ENGR CAPSTONE DESIGN II,3.0
SysEngr 495,MODEL-BASED ENGINEERING,3.0
SysEngr 499,INDEPENDENT STUDY,3.0
UAS 400,RPA INSTRUCTOR,0.0
